제목	특징	수강 선생님	URL
[최종합격] 임산부 지방직 9급 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '임산부', '입덧 중 수험', '사기업 퇴사 후 공시 전환'	양효주, 비비안, 이명호, 신동욱, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36011&searchlist=&search_opt=&search_txt=&cate=&page=110
맘시생 합격수기	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '임신 중 퇴사', '맘시생'	신민숙, 김우택, 이중석, 장재혁, 서현	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38518&searchlist=&search_opt=&search_txt=&cate=&page=74
24지방직 합격수기	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 3년 이상 | 특이사항: '임신·육아 중 수험 시작', '맘시생'	선생님 언급 X	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38683&searchlist=&search_opt=&search_txt=&cate=&page=68
임산부 맘시생의 2025년 보건직 9급 최종합격수기	2025년 | 지방직 | 9급 | 간호/보건직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '임산부', '맘시생', '간호사 경력'	선생님 언급 X	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=41287&searchlist=&search_opt=&search_txt=&cate=&page=14
30대 후반 임신부 수험생의 소수직렬 합격 수기	2025년 | 지방직 | 9급 | 시설직 | 수험기간: 6개월 미만 | 특이사항: '임산부', '30대 후반', '전업주부', '소수직렬'	비비안, 이명호	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=42188&searchlist=&search_opt=&search_txt=&cate=&page=1
2024 경기도 교육행정 맘시생 합격 (1)	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '맘시생', '85년생', '경력단절(육아)', '영어강사 출신'	신민숙, 비비안, 이중석, 강서연, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39026&searchlist=&search_opt=&search_txt=&cate=&page=53
23년 교육행정 맘시생,장수생 합격수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 3년 이상 | 특이사항: '맘시생', '장수생(4년)', '육아 공백(10년)'	신민숙, 김송희, 김우택, 이중석, 이이수, 함수민, 황남기	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36096&searchlist=&search_opt=&search_txt=&cate=&page=107
2023 지방직교육행정직 합격 (1)	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '40대', '맘시생', '재시생'	선생님 언급 X	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36133&searchlist=&search_opt=&search_txt=&cate=&page=106
2023지방직(서울시사회복지직)9급 맘시생 합격수기-포기하지 않는다면 누구나 할 수 있다.	2023년 | 지방직 | 9급 | 사회복지직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '맘시생', '육아 병행', '면접 탈락 후 재도전', '공부 공백 20년'	신민숙, 이중석, 박정훈, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36191&searchlist=&search_opt=&search_txt=&cate=&page=103
40대 맘시생 교육행정직9급 합격수기	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '40대 맘시생', '행정학과 전공', '10년 직장 후 퇴사'	신민숙, 비비안, 신동욱, 이중석, 강서연	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39859&searchlist=&search_opt=&search_txt=&cate=&page=44
해커스 패스로 꾸준히 공부해서 이번에 지방직 합격했어요^^	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 3년 이상 | 특이사항: '맘시생', '육아 병행'	신민숙, 이명호, 서현, 김송희, 이중석, 장재혁, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36041&searchlist=&search_opt=&search_txt=&cate=&page=109
41살 맘시생 합격수기입니다 ^^	2023년 | 지방직 | 9급 | 사회복지직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '41세 맘시생(자녀 2명)', '12년 주부 경력'	신민숙, 김송희, 이중석, 장재혁, 박정훈	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35830&searchlist=&search_opt=&search_txt=&cate=&page=117
2024 교육행정직 지방직 약 3개월 단기합격수기!	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 미만 | 특이사항: '재학 중 휴학 후 도전', '단기합격(3개월)'	이명호, 신동욱, 강서연, 신민숙, 비비안	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38861&searchlist=&search_opt=&search_txt=&cate=&page=61
2023 교정직 합격수기	2023년 | 국가직 | 9급 | 교정직 | 수험기간: 6개월 미만 | 특이사항: '법학과 전공', '법원직 준비 경험', '단기합격(4개월)'	신민숙, 비비안, 노신, 김대환	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35282&searchlist=&search_opt=&search_txt=&cate=&page=132
서울시 7급 일행직 합격수기	2023년 | 서울시 | 7급 | 행정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '휴학 후 수험 전념'	신민숙, 신동욱, 김춘호, 송상호, 김종국, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=37188&searchlist=&search_opt=&search_txt=&cate=&page=89
5개월만에 해커스로 일반행정직 공무원 합격!!	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 미만 | 특이사항: '행정학과 대학 재학 중 휴학 수험'	신민숙, 비비안, 서현, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35967&searchlist=&search_opt=&search_txt=&cate=&page=112
2024 국가직 9급 일반행정직 8개월 단기합격 후기	2024년 | 국가직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '대학 휴학 후 공시', '단기합격', '영어 관련 전공'	신민숙, 이중석, 신동욱, 송상호	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38158&searchlist=&search_opt=&search_txt=&cate=&page=81
해커스 9,7급 평생 패스 활용한 합격 수기	2023년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '대학 휴학 후 공시 준비'	신민숙, 비비안, 김우택, 이중석, 서현, 신동욱	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=36099&searchlist=&search_opt=&search_txt=&cate=&page=107
교육행정직 5개월 초단기 합격 수기 (1)	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 미만 | 특이사항: '대학 재학 중', '사학과 전공(한국사 강점)', '단기합격(5개월)'	홍대겸, 고혜원, 강서연, 이이수	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=38756&searchlist=&search_opt=&search_txt=&cate=&page=65
초시에서 실패한 사람이 재시에서 합격한 방법!	2023년 | 서울시 | 7급 | 행정직 | 수험기간: 2년 이상~3년 미만 | 특이사항: '초시 불합격 후 재도전'	신민숙, 고혜원, 신동욱, 김춘호, 서현, 송상호, 이준모, 김만희, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=37112&searchlist=&search_opt=&search_txt=&cate=&page=90
해커스 덕분에 대학교 다니면서 합격했어요!	2023년 | 국가직 | 9급 | 세무직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '대학 재학 중', '코로나 학번(전공 미이수로 사실상 노베이스)'	정윤돈, 신민숙, 비비안, 이중석, 이훈엽	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=34807&searchlist=&search_opt=&search_txt=&cate=&page=141
2024 국가직 7급 감사직 합격수기 (1)	2024년 | 국가직 | 7급 | 감사직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '경영학 전공자', '검찰직 준비 후 직렬 변경', '대학 재학 중'	조은정, 김용훈, 길규범, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39663&searchlist=&search_opt=&search_txt=&cate=&page=47
23년도 국가직 9급 경찰행정 최종합격 수기	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 1년 이상~1년 6개월 미만 | 특이사항: '행정학과 재학 중'	신민숙, 김송희, 비비안, 이중석	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35273&searchlist=&search_opt=&search_txt=&cate=&page=132
해커스 18개월 패스 활용한 필기 합격수기	2023년 | 국가직 | 9급 | 검찰직 | 수험기간: 3년 이상 | 특이사항: '대학 병행', '전공(형사법) 활용', '중도 포기 반복'	신민숙, 비비안, 이중석, 김대환	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=34793&searchlist=&search_opt=&search_txt=&cate=&page=141
국가직 9급 우정행정직 합격한 얘기	2023년 | 국가직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '대학교 재학 중 합격(휴학 중)', '단기합격(6개월)'	선생님 언급 X	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=35202&searchlist=&search_opt=&search_txt=&cate=&page=136
직장과 병행해서 합격한 수기	2024년 | 지방직 | 9급 | 행정직 | 수험기간: 6개월 이상~1년 미만 | 특이사항: '직장 병행(주6일)'	신민숙, 비비안, 이중석, 신동욱, 송상호, 피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=39091&searchlist=&search_opt=&search_txt=&cate=&page=52
직장병행 9급에서 일반 행정 7급 합격!!!!	2023년 | 지방직 | 7급 | 행정직 | 수험기간: 1년 6개월 이상~2년 미만 | 특이사항: '직장 병행'	피티윤	https://gosi.hackers.com/html/mmove.htm?id=exam_passnote_new&m=view&idx=37258&searchlist=&search_opt=&search_txt=&cate=&page=89
